Matricule,Heures de présence
00082,P173
00083,P173
00101,P173
00121,P173
00182,P173
00189,P173
00217,P173
00218,P173
00228,P173
00233,P173
00241,P173
00244,P170
00253,P171
00255,P173
00261,P173
00265,P173
00270,P173
00281,P173
00285,P173
00291,P120
00302,P173
00307,P173
00310,P173
00311,P173
00315,P173
00316,P173
00322,P173
00327,P89
00341,P173
00345,P162
00353,P173
00354,P173
00378,P173
00399,P173
00408,P159
00424,P172
00427,P173
00432,P173
00436,P173
00443,P172
00451,P173
00456,P120
00459,P173
00460,P173
00463,P173
00476,P173
00500,P171
00508,P115
00509,P173
00515,P173
00535,P173
00538,P168
00559,P84
00560,P173
00586,P173
00595,P173
00617,P173
00630,P173
00632,P173
00636,P173
00638,P173
00644,P173
00665,P160
00666,P173
00667,P71
00672,P173
00678,P173
00685,P173
00687,P151
00694,P160
00695,P173
00700,P173
00701,P171
00703,P84
00705,P89
00712,P133
00715,P173
00717,P173
00720,P173
00721,P173
00722,P133
00725,P173
00726,P173
00731,P84
00732,P155
00734,P159
00740,P173
00752,P111
00755,P164
00757,P171
00777,P151
00781,P173
00782,P173
00784,P173
00786,P173
00794,P173
00803,P173
00805,P173
00806,P173
00808,P111
00810,P173
00817,P173
00822,P173
00832,P173
00837,P71
00838,P173
00846,P173
00850,P173
00854,P173
00862,P173
00863,P120
00871,P173
00877,P173
00880,P173
00882,P173
00892,P173
00894,P173
00896,P171
00901,P49
00903,P173
00907,P173
00909,P173
00910,P170
00920,P172
00921,P155
00924,P164
00925,P173
00929,P173
00930,P-27
00932,P173
00933,P-27
00934,P173
00937,P173
00938,P173
00939,P173
00944,P173
00948,P173
00951,P173
00955,P164
00957,P173
00958,P111
00961,P167
00963,P173
00964,P173
00965,P173
00966,P173
00967,P173
00968,P173
00970,P120
00971,P173
00972,P173
00974,P173
00975,P173
00976,P173
00977,P170
00978,P178
00979,P172
00980,P173
00981,P173
00982,P165
00983,P173
00987,P173
00988,P173
00991,P162
00992,P173
00993,P173
00994,P173
00995,P173
00996,P173
00997,P173
00998,P173
00999,P173
01000,P173
01001,P173
01002,P173
01003,P173
01004,P173
01005,P173
01008,P173
01009,P173
01011,P173
01012,P173
01013,P173
01014,P159
01015,P173
01016,P173
01017,P173
01018,P173
01020,P133
01021,P173
01022,P173
01023,P173
01024,P173
01025,P208
00284,P71
00339,P142
00421,P173
00422,P173
00455,P173
00530,P93
00542,P89
00795,P173
00833,P173
00856,P173
00868,P173
00891,P171
00355,P173
00394,P170
00484,P120
00496,P173
00564,P172
00588,P171
00596,P161
00823,P154
00945,P173
00581,P173
00653,P173
00710,P93
00922,P173
00521,P150
00580,P129
00860,P173
00949,P173
01019,P173
00392,P160
00434,P171
00584,P171
00364,P173
00492,P173
00568,P173
00699,P173
00708,P173
00313,P173
00626,P173
00778,P173
00899,P173
00384,P173
00689,P173
00693,P173
00696,P89
00941,P173
00317,P155
00337,P173
00370,P173
00569,P120
00570,P173
00651,P173
00790,P173
00423,P173
00531,P173
00589,P173
00640,P71
00361,P172
00374,P173
00507,P168
00571,P173
00498,P173
00624,P173
00762,P173
00590,P164
00842,P173
00953,P173
00380,P129
00467,P170
00553,P171
00597,P172
00735,P171
00305,P173
00481,P172
00544,P173
00562,P169
00594,P173
00716,P168
00741,P171
00895,P173
00917,P71
00940,P169
00946,P173
00985,P173
00989,P150
00990,P167
00342,P120
00511,P163
00525,P168
00552,P171
00556,P173
00677,P115
00346,P173
00728,P173
00743,P173
00804,P173
00870,P111
00956,P173
00410,P173
00438,P173
00506,P173
00893,P173
00915,P173
00986,P173
00276,P155
00517,P111
00534,P173
00826,P115
00853,P177
00867,P173
00872,P124
00881,P173
00885,P173
00935,P166
00612,P173
00649,P173
00702,P173
00819,P173
00754,P142
00845,P173
00919,P173
00379,P172
00765,P99
00504,P173
00625,P173
00812,P173
00912,P173
00844,P173
00767,P173
00813,P173
00843,P161
00875,P173
00280,P173
00330,P173
00441,P173
00477,P173
00545,P173
00887,P115
00960,P173
00246,P173
00334,P173
00400,P173
00466,P173
00522,P173
00599,P173
00768,P189
00783,P173
00791,P173
00827,P173
00840,P173
00888,P173
00889,P102
00914,P173
00916,P111
00927,P173
00952,P172
01006,P173
01007,P173
01010,P173
00852,P173
00984,P173
00391,P173
00902,P173
00413,P173
00682,P173
00818,P155
00950,P120
00318,P173
00864,P89
